type,Fatal-(2015),Serious-(2015),Slight-(2015),Fatal-(2016),Serious-(2016),Slight-(2016),Fatal-(2017),Serious-(2017),Slight-(2017),Fatal-(2018),Serious-(2018),Slight-(2018)
Darkness,4,86,575,5,81,588,11,157,854,13,94,445
Daylight,12,236,1751,4,241,1630,4,152,1025,13,217,1213
